chartName,category,img,link,description
Abweichungsbalken,Abweichung,abweichungsbalken.svg,TRUE,A simple standard bar chart that can handle both negative and positive magnitude values
Gestaffelte Abweichungsbalken,Abweichung,gestaffelte-abweichungsbalken.svg,TRUE,Perfect for presenting survey results which involve sentiment (eg disagree
Spine-Diagramm,Abweichung,spine-diagramm.svg,TRUE,Splits a single value into 2 contrasting components (eg Male/Female)
Über-/Unterdeckung gefüllte Linie,Abweichung,ueber-unterdeckung-gefüllte-linie.svg,TRUE,The shaded area of these charts allows a balance to be shown
Säulendiagramm mit Zeitleiste,Korrelation,saeulendiagramm-zeitleiste.svg,https://dwbrand.frontify.com/document/22#/saeulendiagramm-zeitleiste-1542386072,The standard way to show the relationship between two variables
Verbundenes Streudiagramm,Korrelation,verbundenes-streudiagramm.svg,TRUE,A good way of showing the relationship between an amount (columns) and a rate (line)
Blasendiagramm,Korrelation,blasendiagramm.svg,TRUE,The standard way to show the relationship between two variables each of which has its own axis
XY Heatmap,Korrelation,xy-heatmap.svg,TRUE,A good way of showing the relationship between an amount (columns) and a rate (line)
Geordnetes Balkendiagramm,Rangfolge,geordnetes-balkendiagramm.svg,https://dwbrand.frontify.com/document/22#/liniendiagramm,Columns work well for showing change over time - but usually best with only one series of data at a time
Geordnetes Säulendiagramm,Rangfolge,geordnetes-saeulendiagramm.svg,https://dwbrand.frontify.com/document/22#/saeulen-und-balkendiagramm,A good way of showing the relationship over time between an amount (columns) and a rate (line)
Geordnete Proportionale Symbole,Rangfolge,geordnete-proportionale-symbole.svg,https://dwbrand.frontify.com/document/22#/proportionale-symbole,Use to show the uncertainty in future projections - usually this grows the further forward to projection
Punkt Streifen Darstellung,Rangfolge,punkt-streifen-darstellung.svg,TRUE,A good way of showing changing data for two variables whenever there is a relatively clear pattern of progression. Connected scatterplot
Steigungsdiagramm,Rangfolge,steigungsdiagramm.svg,https://dwbrand.frontify.com/document/22#/steigungsdiagramm,A good way of showing the relationship over time between an amount (columns) and a rate (line)
Lollipop-Diagramm,Rangfolge,lollipop-diagramm.svg,TRUE,Use to show the uncertainty in future projections - usually this grows the further forward to projection
Bump-Diagramm,Rangfolge,bump-diagramm.svg,TRUE,A good way of showing changing data for two variables whenever there is a relatively clear pattern of progression. Connected scatterplot
Histogramm,Verteilung,histogramm.svg,TRUE,Standard bar charts display the ranks of values much more easily when sorted into order
Hanteldiagramm,Verteilung,hanteldiagramm.svg,https://dwbrand.frontify.com/document/22#/hanteldiagramm,Standard column charts display the ranks of values much more easily when sorted into order
Punkt-Streifen-Darstellung,Verteilung,punkt-streifen-darstellung.svg,TRUE,Use when there are big variations between values and/or seeing fine differences between data is not so important
Strichcode-Diagramm,Verteilung,strichcode-diagramm.svg,TRUE,Dots placed in order on a strip are a space-efficient method of laying out ranks across multiple categories
Violin plot,Verteilung,violin-plot.svg,TRUE,Perfect for showing how ranks have changed over time or vary between categories
Bevölkerungspyramide,Verteilung,bevoelkerungspyramide.svg,TRUE,Lollipop charts draw more attention to the data value than standard bar/column and can also show rank effectivel
Summenkurve,Verteilung,summenkurve.svg,TRUE,Lollipop charts draw more attention to the data value than standard bar/column and can also show rank effectively
Frequency polygons,Verteilung,frequency-polygons.svg,TRUE,Lollipop charts draw more attention to the data value than standard bar/column and can also show rank effectively
Liniendiagramm,Zeitliche Veränderung,liniendiagramm.svg,https://dwbrand.frontify.com/document/22#/liniendiagramm,Standard bar charts display the ranks of values much more easily when sorted into order,
Säulendiagramm,Zeitliche Veränderung,saeulen-diagramm.svg,https://dwbrand.frontify.com/document/22#/saeulen-und-balkendiagramm,Standard column charts display the ranks of values much more easily when sorted into order
Säulendiagramm mit Zeitleiste,Zeitliche Veränderung,saeulendiagramm-zeitleiste.svg,https://dwbrand.frontify.com/document/22#/saeulendiagramm-zeitleiste-1542386072,Use when there are big variations between values and/or seeing fine differences between data is not so important
Steigungsdiagramm,Zeitliche Veränderung,steigungsdiagramm.svg,https://dwbrand.frontify.com/document/22#/steigungsdiagramm,Dots placed in order on a strip are a space-efficient method of laying out ranks across multiple categories
Candlestick,Zeitliche Veränderung,candlestick.svg,TRUE,Perfect for showing how ranks have changed over time or vary between categories
Fächerdiagramm,Zeitliche Veränderung,faecherdiagramm.svg,TRUE,Lollipop charts draw more attention to the data value than standard bar/column and can also show rank effectively
Verbundenes Streudiagramm,Zeitliche Veränderung,verbundenes-streudiagramm.svg,TRUE,Lollipop charts draw more attention to the data value than standard bar/column and can also show rank effectively
Calendar Heatmap,Zeitliche Veränderung,kalender-heatmap.svg,TRUE,Standard bar charts display the ranks of values much more easily when sorted into order
PriestleyZeitleiste,Zeitliche Veränderung,priestley-zeitleiste.svg,TRUE,Standard column charts display the ranks of values much more easily when sorted into order
Kreis-Zeitleiste,Zeitliche Veränderung,kreis-zeitleiste.svg,TRUE,Use when there are big variations between values and/or seeing fine differences between data is not so important
Vertikale Zeitleiste,Zeitliche Veränderung,vertikale-zeitleiste.svg,TRUE,Dots placed in order on a strip are a space-efficient method of laying out ranks across multiple categories
Seismogramm,Zeitliche Veränderung,seismogramm.svg,TRUE,Lollipop charts draw more attention to the data value than standard bar/column and can also show rank effectively
Gestaffeltes Säulendiagramm,Teil des Ganzen,gestaffeltes-saeulendiagramm.svg,TRUE,A simple way of showing part-to-whole relationships but can be difficult to read with more than a few components
Marimekko,Teil des Ganzen,marimekko.svg,TRUE,A good way of showing the size and proportion of data at the same time as long as the data are not too complicated
